,team,elo,event_wins,1_wins,2_wins,3_wins,num_seasons,event_wins_per_season,adjustPoints,autoPoints,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,foulPoints,habClimbPoints,habDockingRankingPoint,hatchPanelPoints,rp,sandStormBonusPoints,techFoulCount,teleopPoints,totalPoints,endgameRobot_HabLevel1,endgameRobot_HabLevel2,endgameRobot_HabLevel3,endgameRobot_Unknown,habLineRobot_CrossedHabLineInSandstorm,habLineRobot_CrossedHabLineInTeleop,bay_score
0,frc1,1560,1,0,0,1,24,0.04166666666666666,0.0,12.807692307692308,16.5,0.0,0.0,0.0,4.038461538461538,12.923076923076923,0.5,5.923076923076923,1.3076923076923077,12.807692307692308,0.11538461538461539,35.34615384615385,52.19230769230769,0.5384615384615384,0.038461538461538464,0.2692307692307692,0.0,0.9615384615384616,0.038461538461538464,33.65384615384617
1,frc4,1557,2,1,0,1,15,0.13333333333333333,0.0,12.72,17.64,0.0,0.0,0.0,1.72,10.8,0.44,4.88,1.32,12.72,0.0,33.32,47.76,0.64,0.0,0.0,0.0,0.96,0.0,34.27999999999999
2,frc8,1572,1,0,0,1,25,0.04,0.0,13.097560975609756,19.75609756097561,0.07317073170731707,0.0,0.024390243902439025,3.1463414634146343,11.634146341463415,0.1951219512195122,9.317073170731707,1.3170731707317074,13.097560975609756,0.07317073170731707,40.707317073170735,56.951219512195124,0.7560975609756098,0.07317073170731707,0.0,0.0,1.0,0.0,40.195121951219505
3,frc11,1600,6,2,2,2,24,0.25,0.0,12.227848101265822,24.151898734177216,0.0759493670886076,0.0379746835443038,0.02531645569620253,2.8734177215189876,12.037974683544304,0.2911392405063291,11.721518987341772,1.240506329113924,12.227848101265822,0.06329113924050633,47.91139240506329,63.0126582278481,0.7721518987341772,0.06329113924050633,0.0,0.0,0.9367088607594937,0.0379746835443038,47.44303797468355
4,frc16,1726,17,11,5,1,24,0.7083333333333334,0.0,12.365853658536585,26.26829268292683,0.21951219512195122,0.12195121951219512,0.07317073170731707,1.975609756097561,14.121951219512194,0.5609756097560976,12.536585365853659,1.7560975609756098,12.365853658536585,0.04878048780487805,52.926829268292686,67.26829268292683,0.3902439024390244,0.0,0.4878048780487805,0.0,0.9512195121951219,0.04878048780487805,49.78048780487805
5,frc20,1810,9,3,3,3,24,0.375,-1.9565217391304348,12.652173913043478,27.26086956521739,0.1956521739130435,0.08695652173913043,0.06521739130434782,5.3478260869565215,17.543478260869566,0.6304347826086957,13.26086956521739,2.0,12.652173913043478,0.10869565217391304,58.06521739130435,74.1086956521739,0.10869565217391304,0.10869565217391304,0.7391304347826086,0.0,1.0,0.0,51.60869565217391
6,frc21,1546,1,0,0,1,23,0.043478260869565216,0.0,11.5,12.5,0.0,0.0,0.0,3.7222222222222223,12.0,0.2777777777777778,4.222222222222222,1.2777777777777777,11.5,0.05555555555555555,28.72222222222222,43.94444444444444,0.3333333333333333,0.6111111111111112,0.0,0.0,0.9444444444444444,0.05555555555555555,27.833333333333336
7,frc23,1576,0,0,0,0,10,0.0,0.0,11.5,20.9,0.03333333333333333,0.0,0.03333333333333333,0.7333333333333333,10.1,0.13333333333333333,8.933333333333334,1.0,11.5,0.03333333333333333,39.93333333333333,52.166666666666664,0.7,0.0,0.0,0.0,0.9666666666666667,0.03333333333333333,40.83333333333335
8,frc25,1656,18,10,6,2,24,0.75,0.0,12.717391304347826,24.065217391304348,0.15217391304347827,0.10869565217391304,0.043478260869565216,2.9565217391304346,11.869565217391305,0.32608695652173914,11.73913043478261,1.2826086956521738,12.717391304347826,0.06521739130434782,47.67391304347826,63.34782608695652,0.4782608695652174,0.2826086956521739,0.06521739130434782,0.0,1.0,0.0,47.45652173913042
9,frc27,1736,8,3,5,0,24,0.3333333333333333,0.0,11.886075949367088,26.962025316455698,0.16455696202531644,0.06329113924050633,0.06329113924050633,3.037974683544304,17.848101265822784,0.6075949367088608,12.177215189873417,1.7468354430379747,11.886075949367088,0.08860759493670886,56.9873417721519,71.9113924050633,0.13924050632911392,0.0379746835443038,0.7341772151898734,0.0,1.0,0.0,50.73417721518987
