team,elo,event_wins,1_wins,2_wins,3_wins,num_seasons,event_wins_per_season
frc1,1560,1,0,0,1,24,0.041666666666666664
frc4,1557,2,1,0,1,15,0.13333333333333333
frc8,1572,1,0,0,1,25,0.04
frc11,1600,6,2,2,2,24,0.25
frc16,1726,17,11,5,1,24,0.7083333333333334
frc20,1810,9,3,3,3,24,0.375
frc21,1546,1,0,0,1,23,0.043478260869565216
frc23,1576,0,0,0,0,10,0.0
frc25,1656,18,10,6,2,24,0.75
frc27,1736,8,3,5,0,24,0.3333333333333333
frc28,1467,0,0,0,0,25,0.0
frc31,1501,0,0,0,0,24,0.0
frc33,1812,20,11,8,1,25,0.8
frc34,1566,0,0,0,0,24,0.0
frc41,1666,3,1,0,1,24,0.125
frc45,1602,6,1,2,3,29,0.20689655172413793
frc48,1583,7,2,1,4,23,0.30434782608695654
frc51,1660,6,0,3,2,11,0.5454545454545454
frc56,1707,9,3,4,2,24,0.375
frc58,1629,2,1,1,0,25,0.08
frc59,1681,0,0,0,0,22,0.0
frc60,1555,5,2,3,0,24,0.20833333333333334
frc61,1643,1,1,0,0,24,0.041666666666666664
frc63,1528,1,0,1,0,24,0.041666666666666664
frc66,1623,6,1,3,2,23,0.2608695652173913
frc67,1711,33,18,12,3,24,1.375
frc68,1482,7,2,4,1,23,0.30434782608695654
frc69,1652,3,2,1,0,25,0.12
frc70,1591,7,1,2,3,23,0.30434782608695654
frc71,1631,9,4,4,1,25,0.36
frc74,1644,5,1,1,1,26,0.19230769230769232
frc75,1635,3,2,1,0,24,0.125
frc78,1843,3,1,1,1,11,0.2727272727272727
frc79,1467,4,1,2,1,23,0.17391304347826086
frc81,1421,0,0,0,0,27,0.0
frc85,1639,6,2,3,1,25,0.24
frc86,1705,4,2,2,0,23,0.17391304347826086
frc87,1443,0,0,0,0,24,0.0
frc88,1700,7,5,2,0,25,0.28
frc93,1568,4,0,1,3,24,0.16666666666666666
frc94,1529,0,0,0,0,23,0.0
frc95,1642,3,0,3,0,24,0.125
frc97,1481,0,0,0,0,24,0.0
frc100,1498,3,2,0,1,24,0.125
frc101,1575,0,0,0,0,24,0.0
frc102,1641,3,0,0,3,23,0.13043478260869565
frc103,1670,6,2,4,0,24,0.25
frc107,1719,5,2,3,0,24,0.20833333333333334
frc108,1594,4,1,1,2,26,0.15384615384615385
frc111,1717,14,7,6,1,26,0.5384615384615384
frc114,1640,1,0,1,0,24,0.041666666666666664
frc115,1733,3,1,1,1,23,0.13043478260869565
frc116,1563,0,0,0,0,25,0.0
frc117,1497,1,0,0,1,23,0.043478260869565216
frc118,1765,27,13,12,2,24,1.125
frc120,1530,2,0,0,2,25,0.08
frc121,1563,6,3,2,1,25,0.24
frc122,1590,3,1,2,0,24,0.125
frc123,1549,2,2,0,0,24,0.08333333333333333
frc125,1732,11,4,5,2,23,0.4782608695652174
frc126,1677,5,3,2,0,29,0.1724137931034483
frc128,1447,2,1,1,0,24,0.08333333333333333
frc131,1561,1,0,0,1,27,0.037037037037037035
frc133,1784,5,3,1,1,24,0.20833333333333334
frc135,1661,3,1,2,0,23,0.13043478260869565
frc136,1443,0,0,0,0,24,0.0
frc138,1575,1,1,0,0,24,0.041666666666666664
frc141,1531,4,0,1,3,26,0.15384615384615385
frc144,1636,2,0,1,0,20,0.1
frc145,1637,0,0,0,0,24,0.0
frc148,1829,23,11,7,5,28,0.8214285714285714
frc151,1550,0,0,0,0,27,0.0
frc155,1480,3,1,1,1,27,0.1111111111111111
frc156,1521,1,0,0,1,10,0.1
frc157,1539,0,0,0,0,27,0.0
frc159,1517,0,0,0,0,23,0.0
frc166,1569,0,0,0,0,26,0.0
frc167,1609,0,0,0,0,22,0.0
frc171,1524,2,2,0,0,25,0.08
frc172,1698,0,0,0,0,23,0.0
frc173,1671,4,1,2,1,26,0.15384615384615385
